au2001,property_type,num_bedrooms,quarter,rent_count,rent_mean,rent_geo_mean,au_name,territory,region,rental_area
505904,Flat or Apartment,1,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,Flat or Apartment,2,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,Flat or Apartment,3,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,1,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,2,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,3,2020-03-01,8.0,568.0,557.0,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,4,2020-03-01,12.0,665.0,663.0,Army Bay,Rodney District,Auckland,Gulf Harbour
505904,House,5+,2020-03-01,,,,Army Bay,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,1,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,2,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,3,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,4,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,1,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,2,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,3,2019-12-01,9.0,548.0,543.0,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,4,2019-12-01,10.0,718.0,701.0,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,5+,2019-12-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,1,2020-03-01,5.0,333.0,330.0,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,2,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,3,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,Flat or Apartment,4,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,1,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,2,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,3,2020-03-01,8.0,576.0,572.0,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,4,2020-03-01,5.0,695.0,693.0,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
505905,House,5+,2020-03-01,,,,Gulf Harbour,Rodney District,Auckland,Gulf Harbour
506000,Flat or Apartment,1,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,Flat or Apartment,2,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,Flat or Apartment,3,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,1,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,2,2019-12-01,6.0,466.0,464.0,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,3,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,4,2019-12-01,7.0,740.0,737.0,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,5+,2019-12-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,Flat or Apartment,1,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,Flat or Apartment,2,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,Flat or Apartment,3,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,1,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,2,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,3,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,4,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506000,House,5+,2020-03-01,,,,Silverdale South,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,1,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,2,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,4,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,1,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,2,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,3,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,4,2019-12-01,12.0,773.0,771.0,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,5+,2019-12-01,10.0,902.0,896.0,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Room or Boarding House,1,2019-12-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,1,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,2,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Flat or Apartment,4,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,1,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,2,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,3,2020-03-01,8.0,683.0,676.0,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,4,2020-03-01,12.0,754.0,752.0,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,House,5+,2020-03-01,9.0,942.0,931.0,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506200,Room or Boarding House,1,2020-03-01,,,,Silverdale North,Rodney District,Auckland,Orewa/Whangaparaoa
506300,Flat or Apartment,1,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,Flat or Apartment,2,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,1,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,2,2019-12-01,5.0,500.0,499.0,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,3,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,4,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,5+,2019-12-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,Flat or Apartment,1,2020-03-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,Flat or Apartment,2,2020-03-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,1,2020-03-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,2,2020-03-01,5.0,496.0,492.0,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,3,2020-03-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,4,2020-03-01,7.0,896.0,886.0,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506300,House,5+,2020-03-01,,,,Dairy Flat-Redvale,Rodney District,Auckland,Orewa/Whangaparaoa
506400,House,1,2019-12-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,2,2019-12-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,3,2019-12-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,4,2019-12-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,5+,2019-12-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,1,2020-03-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,2,2020-03-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,3,2020-03-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,4,2020-03-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506400,House,5+,2020-03-01,,,,Paremoremo West,Rodney District,Auckland,Rewiti/Kumeu/Riverhead
506613,Flat or Apartment,1,2019-12-01,,,,Tauhoa-Puhoi,Rodney District,Auckland,Wellsford/Warkworth/Helensville
506613,Flat or Apartment,2,2019-12-01,,,,Tauhoa-Puhoi,Rodney District,Auckland,Wellsford/Warkworth/Helensville
506613,House,1,2019-12-01,,,,Tauhoa-Puhoi,Rodney District,Auckland,Wellsford/Warkworth/Helensville
506613,House,2,2019-12-01,,,,Tauhoa-Puhoi,Rodney District,Auckland,Wellsford/Warkworth/Helensville
506613,House,3,2019-12-01,9.0,540.0,536.0,Tauhoa-Puhoi,Rodney District,Auckland,Wellsford/Warkworth/Helensville
