origin,destination,time,distance
Blockhouse Bay/New Windsor,Glendene,4792.0,6.783
Blockhouse Bay/New Windsor,Glendhu/Glenfield,14198.0,21.655
Blockhouse Bay/New Windsor,Greenhithe/Unsworth Heights,16788.0,25.318
Blockhouse Bay/New Windsor,Grey Lynn/Arch Hill,5960.0,8.423
Blockhouse Bay/New Windsor,Gulf Harbour,,
Blockhouse Bay/New Windsor,Half Moon Bay/Farm Cove,14864.0,21.035
Blockhouse Bay/New Windsor,Henderson,7118.0,10.072
Blockhouse Bay/New Windsor,Herne Bay/St Marys,7190.0,10.165
Blockhouse Bay/New Windsor,Highland Park,15958.0,22.582
Blockhouse Bay/New Windsor,Hillcrest/Northcote,12331.0,19.008
Blockhouse Bay/New Windsor,Hillsborough,4521.0,6.399
Blockhouse Bay/New Windsor,Howick,17778.0,25.158
Blockhouse Bay/New Windsor,Kelston,3552.0,5.026
Blockhouse Bay/New Windsor,Kingsland,5309.0,7.509
Blockhouse Bay/New Windsor,Kohimarama,12732.0,18.013
Blockhouse Bay/New Windsor,Lynfield,2177.0,3.084
Blockhouse Bay/New Windsor,Mangere,10686.0,15.133
Blockhouse Bay/New Windsor,Mangere Bridge/Airport,9607.0,13.605
Blockhouse Bay/New Windsor,Mangere East,12635.0,17.894
Blockhouse Bay/New Windsor,Manukau Central,16513.0,23.371
Blockhouse Bay/New Windsor,Manukau Heights and Manurewa Heights,18477.0,26.151
Blockhouse Bay/New Windsor,Manurewa North,19230.0,27.215
Blockhouse Bay/New Windsor,Maraetai/Clevedon,25937.0,36.716
Blockhouse Bay/New Windsor,Massey/Royal Heights,9396.0,13.29
Blockhouse Bay/New Windsor,Meadowbank,11123.0,15.737
Blockhouse Bay/New Windsor,Mission Bay/Orakei,11557.0,16.346
Blockhouse Bay/New Windsor,Mt Albert/Owairaka,3108.0,4.398
Blockhouse Bay/New Windsor,Mt Eden,5995.0,8.481
Blockhouse Bay/New Windsor,Mt Roskill/Wesley,3269.0,4.626
Blockhouse Bay/New Windsor,Mt Wellington,10581.0,14.97
Blockhouse Bay/New Windsor,Mt Wellington North,11074.0,15.66
Blockhouse Bay/New Windsor,New Lynn,2458.0,3.479
Blockhouse Bay/New Windsor,Newmarket,7961.0,11.259
Blockhouse Bay/New Windsor,Newton/Grafton,6704.0,9.48
Blockhouse Bay/New Windsor,North Harbour/Pine Hill,18009.0,27.045
Blockhouse Bay/New Windsor,Onehunga/Oranga/Te Papapa,6869.0,9.721
Blockhouse Bay/New Windsor,Orewa/Whangaparaoa,,
Blockhouse Bay/New Windsor,Otahuhu,12194.0,17.246
Blockhouse Bay/New Windsor,Otara,15702.0,22.234
Blockhouse Bay/New Windsor,Pakuranga,13713.0,19.403
Blockhouse Bay/New Windsor,Panmure,12354.0,17.468
Blockhouse Bay/New Windsor,Papakura/Drury/Karaka,24515.0,34.701
Blockhouse Bay/New Windsor,Papatoetoe North,14350.0,20.323
Blockhouse Bay/New Windsor,Papatoetoe South,14935.0,21.15
Blockhouse Bay/New Windsor,Papatoetoe West,13714.0,19.421
Blockhouse Bay/New Windsor,Parnell,8702.0,12.305
Blockhouse Bay/New Windsor,Penrose/Mt Wellington South,11089.0,15.688
Blockhouse Bay/New Windsor,Ponsonby/Freemans Bay,6788.0,9.596
Blockhouse Bay/New Windsor,Pt Chevalier,4509.0,6.379
Blockhouse Bay/New Windsor,Pukekohe/Tuakau,,
Blockhouse Bay/New Windsor,Ranui,9057.0,12.819
Blockhouse Bay/New Windsor,Remuera,9205.0,13.025
Blockhouse Bay/New Windsor,Remuera South/Meadowbank South,10469.0,14.807
Blockhouse Bay/New Windsor,Rewiti/Kumeu/Riverhead,17621.0,24.939
Blockhouse Bay/New Windsor,Rothesay/Murrays/Mairangi Bays,18187.0,27.299
Blockhouse Bay/New Windsor,Royal Oak/One Tree Hill,6630.0,9.369
Blockhouse Bay/New Windsor,Rural Franklin,,
Blockhouse Bay/New Windsor,St Helliers/Glendowie,13830.0,19.575
Blockhouse Bay/New Windsor,St Johns,11922.0,16.869
Blockhouse Bay/New Windsor,St Lukes/Sandringham,4201.0,5.945
Blockhouse Bay/New Windsor,Sunnynook/Westlake,14708.0,22.371
Blockhouse Bay/New Windsor,Takanini/Ardmore,22891.0,32.396
Blockhouse Bay/New Windsor,Takapuna,13896.0,21.22
