origin,destination,time,distance
Beachhaven/Birkdale,Blockhouse Bay/New Windsor,5225.0,33.78
Beachhaven/Birkdale,Botony Downs,8196.0,53.979
Beachhaven/Birkdale,Browns Bay,1958.0,12.97
Beachhaven/Birkdale,Bucklands Beach,8127.0,53.551
Beachhaven/Birkdale,Central East,5918.0,37.181
Beachhaven/Birkdale,Central West,5847.0,36.929
Beachhaven/Birkdale,Chatswood/Birkenhead/Northcote Point,617.0,3.652
Beachhaven/Birkdale,Dannemora,8229.0,53.999
Beachhaven/Birkdale,Devonport,2137.0,14.787
Beachhaven/Birkdale,East Coast Bays,1446.0,9.319
Beachhaven/Birkdale,Eden Terrace,5597.0,35.334
Beachhaven/Birkdale,Ellerslie,6503.0,41.827
Beachhaven/Birkdale,Epsom,5908.0,37.59
Beachhaven/Birkdale,Glen Eden,4632.0,29.926
Beachhaven/Birkdale,Glen Innes/Pt England/Wai O Taiki,7796.0,49.44
Beachhaven/Birkdale,Glendene,4394.0,27.977
Beachhaven/Birkdale,Glendhu/Glenfield,490.0,3.226
Beachhaven/Birkdale,Greenhithe/Unsworth Heights,1233.0,7.651
Beachhaven/Birkdale,Grey Lynn/Arch Hill,5304.0,33.675
Beachhaven/Birkdale,Gulf Harbour,6893.0,45.3
Beachhaven/Birkdale,Half Moon Bay/Farm Cove,7610.0,49.94
Beachhaven/Birkdale,Henderson,3923.0,25.182
Beachhaven/Birkdale,Herne Bay/St Marys,5502.0,35.089
Beachhaven/Birkdale,Highland Park,7836.0,51.453
Beachhaven/Birkdale,Hillcrest/Northcote,706.0,4.683
Beachhaven/Birkdale,Hillsborough,5908.0,37.749
Beachhaven/Birkdale,Howick,8242.0,54.043
Beachhaven/Birkdale,Kelston,4677.0,29.931
Beachhaven/Birkdale,Kingsland,5369.0,33.94
Beachhaven/Birkdale,Kohimarama,7367.0,46.393
Beachhaven/Birkdale,Lynfield,5773.0,37.129
Beachhaven/Birkdale,Mangere,7134.0,46.128
Beachhaven/Birkdale,Mangere Bridge/Airport,6869.0,44.415
Beachhaven/Birkdale,Mangere East,7504.0,48.574
Beachhaven/Birkdale,Manukau Central,8232.0,53.568
Beachhaven/Birkdale,Manukau Heights and Manurewa Heights,8631.0,55.825
Beachhaven/Birkdale,Manurewa North,8809.0,57.721
Beachhaven/Birkdale,Maraetai/Clevedon,10414.0,66.919
Beachhaven/Birkdale,Massey/Royal Heights,3169.0,20.063
Beachhaven/Birkdale,Meadowbank,6731.0,43.485
Beachhaven/Birkdale,Mission Bay/Orakei,7056.0,44.293
Beachhaven/Birkdale,Mt Albert/Owairaka,5070.0,32.045
Beachhaven/Birkdale,Mt Eden,5546.0,35.068
Beachhaven/Birkdale,Mt Roskill/Wesley,5560.0,35.576
Beachhaven/Birkdale,Mt Wellington,6738.0,43.673
Beachhaven/Birkdale,Mt Wellington North,6746.0,43.725
Beachhaven/Birkdale,New Lynn,5108.0,32.937
Beachhaven/Birkdale,Newmarket,6068.0,38.153
Beachhaven/Birkdale,Newton/Grafton,5653.0,35.471
Beachhaven/Birkdale,North Harbour/Pine Hill,1588.0,10.16
Beachhaven/Birkdale,Onehunga/Oranga/Te Papapa,6133.0,39.398
Beachhaven/Birkdale,Orewa/Whangaparaoa,,
Beachhaven/Birkdale,Otahuhu,7229.0,46.841
Beachhaven/Birkdale,Otara,7955.0,51.886
Beachhaven/Birkdale,Pakuranga,7396.0,48.351
Beachhaven/Birkdale,Panmure,7006.0,45.61
Beachhaven/Birkdale,Papakura/Drury/Karaka,,
Beachhaven/Birkdale,Papatoetoe North,7651.0,49.797
Beachhaven/Birkdale,Papatoetoe South,7840.0,51.146
Beachhaven/Birkdale,Papatoetoe West,7740.0,50.271
Beachhaven/Birkdale,Parnell,6152.0,39.001
Beachhaven/Birkdale,Penrose/Mt Wellington South,6956.0,45.082
Beachhaven/Birkdale,Ponsonby/Freemans Bay,5505.0,35.096
Beachhaven/Birkdale,Pt Chevalier,4833.0,30.743
Beachhaven/Birkdale,Pukekohe/Tuakau,,
Beachhaven/Birkdale,Ranui,3989.0,25.32
Beachhaven/Birkdale,Remuera,6443.0,41.425
Beachhaven/Birkdale,Remuera South/Meadowbank South,6647.0,42.532
Beachhaven/Birkdale,Rewiti/Kumeu/Riverhead,4177.0,26.107
Beachhaven/Birkdale,Rothesay/Murrays/Mairangi Bays,1622.0,10.728
Beachhaven/Birkdale,Royal Oak/One Tree Hill,6142.0,39.049
Beachhaven/Birkdale,Rural Franklin,,
Beachhaven/Birkdale,St Helliers/Glendowie,7625.0,48.016
Beachhaven/Birkdale,St Johns,6969.0,44.69
Beachhaven/Birkdale,St Lukes/Sandringham,5396.0,34.554
Beachhaven/Birkdale,Sunnynook/Westlake,1223.0,8.182
Beachhaven/Birkdale,Takanini/Ardmore,9493.0,62.326
