orig,orig_name,dest,dest_name,duration,distance
,Hillcrest/Northcote,,Blockhouse Bay/New Windsor,,
,Hillsborough,,Blockhouse Bay/New Windsor,,
,Howick,,Blockhouse Bay/New Windsor,,
,Kelston,,Blockhouse Bay/New Windsor,,
,Kingsland,,Blockhouse Bay/New Windsor,,
,Kohimarama,,Blockhouse Bay/New Windsor,,
,Lynfield,,Blockhouse Bay/New Windsor,,
,Mangere,,Blockhouse Bay/New Windsor,,
,Mangere Bridge/Airport,,Blockhouse Bay/New Windsor,,
,Mangere East,,Blockhouse Bay/New Windsor,,
,Manukau Central,,Blockhouse Bay/New Windsor,,
,Manukau Heights and Manurewa Heights,,Blockhouse Bay/New Windsor,,
,Manurewa North,,Blockhouse Bay/New Windsor,,
,Maraetai/Clevedon,,Blockhouse Bay/New Windsor,,
,Massey/Royal Heights,,Blockhouse Bay/New Windsor,,
,Meadowbank,,Blockhouse Bay/New Windsor,,
,Mission Bay/Orakei,,Blockhouse Bay/New Windsor,,
,Mt Albert/Owairaka,,Blockhouse Bay/New Windsor,,
,Mt Eden,,Blockhouse Bay/New Windsor,,
,Mt Roskill/Wesley,,Blockhouse Bay/New Windsor,,
,Mt Wellington,,Blockhouse Bay/New Windsor,,
,Mt Wellington North,,Blockhouse Bay/New Windsor,,
,New Lynn,,Blockhouse Bay/New Windsor,,
,Newmarket,,Blockhouse Bay/New Windsor,,
,Newton/Grafton,,Blockhouse Bay/New Windsor,,
,North Harbour/Pine Hill,,Blockhouse Bay/New Windsor,,
,Onehunga/Oranga/Te Papapa,,Blockhouse Bay/New Windsor,,
,Orewa/Whangaparaoa,,Blockhouse Bay/New Windsor,,
,Otahuhu,,Blockhouse Bay/New Windsor,,
,Otara,,Blockhouse Bay/New Windsor,,
,Pakuranga,,Blockhouse Bay/New Windsor,,
,Panmure,,Blockhouse Bay/New Windsor,,
,Papakura/Drury/Karaka,,Blockhouse Bay/New Windsor,,
,Papatoetoe North,,Blockhouse Bay/New Windsor,,
,Papatoetoe South,,Blockhouse Bay/New Windsor,,
,Papatoetoe West,,Blockhouse Bay/New Windsor,,
,Parnell,,Blockhouse Bay/New Windsor,,
,Penrose/Mt Wellington South,,Blockhouse Bay/New Windsor,,
,Ponsonby/Freemans Bay,,Blockhouse Bay/New Windsor,,
,Pt Chevalier,,Blockhouse Bay/New Windsor,,
,Pukekohe/Tuakau,,Blockhouse Bay/New Windsor,,
,Ranui,,Blockhouse Bay/New Windsor,,
,Remuera,,Blockhouse Bay/New Windsor,,
,Remuera South/Meadowbank South,,Blockhouse Bay/New Windsor,,
,Rewiti/Kumeu/Riverhead,,Blockhouse Bay/New Windsor,,
,Rothesay/Murrays/Mairangi Bays,,Blockhouse Bay/New Windsor,,
,Royal Oak/One Tree Hill,,Blockhouse Bay/New Windsor,,
,Rural Franklin,,Blockhouse Bay/New Windsor,,
,St Helliers/Glendowie,,Blockhouse Bay/New Windsor,,
,St Johns,,Blockhouse Bay/New Windsor,,
,St Lukes/Sandringham,,Blockhouse Bay/New Windsor,,
,Sunnynook/Westlake,,Blockhouse Bay/New Windsor,,
,Takanini/Ardmore,,Blockhouse Bay/New Windsor,,
,Takapuna,,Blockhouse Bay/New Windsor,,
,Te Atatu,,Blockhouse Bay/New Windsor,,
,Te Atatu Peninsula,,Blockhouse Bay/New Windsor,,
,Three Kings,,Blockhouse Bay/New Windsor,,
,Titirangi,,Blockhouse Bay/New Windsor,,
,Torbay,,Blockhouse Bay/New Windsor,,
