orig_name,dest_name,card_fare
Balmoral,Westmere/Surrey Crescent,1.85
Balmoral,Weymouth,4.85
Beachhaven/Birkdale,Albany,4.85
Beachhaven/Birkdale,Avondale,4.85
Beachhaven/Birkdale,Balmoral,4.85
Beachhaven/Birkdale,Blockhouse Bay/New Windsor,4.85
Beachhaven/Birkdale,Botony Downs,6.1
Beachhaven/Birkdale,Browns Bay,3.15
Beachhaven/Birkdale,Bucklands Beach,6.1
Beachhaven/Birkdale,Central East,3.15
Beachhaven/Birkdale,Central West,3.15
Beachhaven/Birkdale,Chatswood/Birkenhead/Northcote Point,1.85
Beachhaven/Birkdale,Dannemora,6.1
Beachhaven/Birkdale,Devonport,9.6
Beachhaven/Birkdale,East Coast Bays,1.85
Beachhaven/Birkdale,Eden Terrace,3.15
Beachhaven/Birkdale,Ellerslie,4.85
Beachhaven/Birkdale,Epsom,4.85
Beachhaven/Birkdale,Glen Eden,6.1
Beachhaven/Birkdale,Glen Innes/Pt England/Wai O Taiki,4.85
Beachhaven/Birkdale,Glendene,6.1
Beachhaven/Birkdale,Glendhu/Glenfield,1.85
Beachhaven/Birkdale,Greenhithe/Unsworth Heights,3.15
Beachhaven/Birkdale,Grey Lynn/Arch Hill,3.15
Beachhaven/Birkdale,Gulf Harbour,4.85
Beachhaven/Birkdale,Half Moon Bay/Farm Cove,6.1
Beachhaven/Birkdale,Henderson,6.1
Beachhaven/Birkdale,Herne Bay/St Marys,3.15
Beachhaven/Birkdale,Highland Park,6.1
Beachhaven/Birkdale,Hillcrest/Northcote,1.85
Beachhaven/Birkdale,Hillsborough,4.85
Beachhaven/Birkdale,Howick,6.1
Beachhaven/Birkdale,Kelston,6.1
Beachhaven/Birkdale,Kingsland,3.15
Beachhaven/Birkdale,Kohimarama,4.85
Beachhaven/Birkdale,Lynfield,4.85
Beachhaven/Birkdale,Mangere,6.1
Beachhaven/Birkdale,Mangere Bridge/Airport,6.1
Beachhaven/Birkdale,Mangere East,6.1
Beachhaven/Birkdale,Manukau Central,6.1
Beachhaven/Birkdale,Manukau Heights and Manurewa Heights,7.5
Beachhaven/Birkdale,Manurewa North,7.5
Beachhaven/Birkdale,Maraetai/Clevedon,
Beachhaven/Birkdale,Massey/Royal Heights,6.1
Beachhaven/Birkdale,Meadowbank,4.85
Beachhaven/Birkdale,Mission Bay/Orakei,4.85
Beachhaven/Birkdale,Mt Albert/Owairaka,4.85
Beachhaven/Birkdale,Mt Eden,4.85
Beachhaven/Birkdale,Mt Roskill/Wesley,4.85
Beachhaven/Birkdale,Mt Wellington,4.85
Beachhaven/Birkdale,Mt Wellington North,4.85
Beachhaven/Birkdale,New Lynn,4.85
Beachhaven/Birkdale,Newmarket,3.15
Beachhaven/Birkdale,Newton/Grafton,3.15
Beachhaven/Birkdale,North Harbour/Pine Hill,3.15
Beachhaven/Birkdale,Onehunga/Oranga/Te Papapa,4.85
Beachhaven/Birkdale,Orewa/Whangaparaoa,
Beachhaven/Birkdale,Otahuhu,4.85
Beachhaven/Birkdale,Otara,6.1
Beachhaven/Birkdale,Pakuranga,6.1
Beachhaven/Birkdale,Panmure,4.85
Beachhaven/Birkdale,Papakura/Drury/Karaka,7.5
Beachhaven/Birkdale,Papatoetoe North,6.1
Beachhaven/Birkdale,Papatoetoe South,6.1
Beachhaven/Birkdale,Papatoetoe West,6.1
Beachhaven/Birkdale,Parnell,3.15
Beachhaven/Birkdale,Penrose/Mt Wellington South,4.85
Beachhaven/Birkdale,Ponsonby/Freemans Bay,3.15
Beachhaven/Birkdale,Pt Chevalier,4.85
Beachhaven/Birkdale,Pukekohe/Tuakau,8.8
Beachhaven/Birkdale,Ranui,6.1
Beachhaven/Birkdale,Remuera,4.85
Beachhaven/Birkdale,Remuera South/Meadowbank South,4.85
Beachhaven/Birkdale,Rewiti/Kumeu/Riverhead,
Beachhaven/Birkdale,Rothesay/Murrays/Mairangi Bays,3.15
Beachhaven/Birkdale,Royal Oak/One Tree Hill,4.85
Beachhaven/Birkdale,Rural Franklin,
Beachhaven/Birkdale,St Helliers/Glendowie,4.85
Beachhaven/Birkdale,St Johns,4.85
Beachhaven/Birkdale,St Lukes/Sandringham,4.85
Beachhaven/Birkdale,Sunnynook/Westlake,1.85
Beachhaven/Birkdale,Takanini/Ardmore,7.5
Beachhaven/Birkdale,Takapuna,1.85
Beachhaven/Birkdale,Te Atatu,6.1
Beachhaven/Birkdale,Te Atatu Peninsula,6.1
Beachhaven/Birkdale,Three Kings,4.85
Beachhaven/Birkdale,Titirangi,6.1
Beachhaven/Birkdale,Torbay,3.15
Beachhaven/Birkdale,Waiheke Island,23.0
Beachhaven/Birkdale,Wairau Park/Glenfield North,1.85
Beachhaven/Birkdale,Waiuku,8.8
Beachhaven/Birkdale,Waterview/Avondale Heights,4.85
Beachhaven/Birkdale,Wattle Downs/Conifer Grove,7.5
Beachhaven/Birkdale,Wellsford/Warkworth/Helensville,
Beachhaven/Birkdale,West Harbour,4.85
Beachhaven/Birkdale,Western Beaches/Rural,
Beachhaven/Birkdale,Western Springs/Morningside,4.85
Beachhaven/Birkdale,Westmere/Surrey Crescent,4.85
Beachhaven/Birkdale,Weymouth,7.5
Blockhouse Bay/New Windsor,Albany,6.1
Blockhouse Bay/New Windsor,Avondale,1.85
Blockhouse Bay/New Windsor,Balmoral,1.85
Blockhouse Bay/New Windsor,Beachhaven/Birkdale,4.85
Blockhouse Bay/New Windsor,Botony Downs,4.85
Blockhouse Bay/New Windsor,Browns Bay,6.1
Blockhouse Bay/New Windsor,Bucklands Beach,4.85
Blockhouse Bay/New Windsor,Central East,3.15
Blockhouse Bay/New Windsor,Central West,3.15
Blockhouse Bay/New Windsor,Chatswood/Birkenhead/Northcote Point,4.85
Blockhouse Bay/New Windsor,Dannemora,4.85
Blockhouse Bay/New Windsor,Devonport,9.6
Blockhouse Bay/New Windsor,East Coast Bays,4.85
Blockhouse Bay/New Windsor,Eden Terrace,3.15
Blockhouse Bay/New Windsor,Ellerslie,3.15
Blockhouse Bay/New Windsor,Epsom,1.85
Blockhouse Bay/New Windsor,Glen Eden,3.15
Blockhouse Bay/New Windsor,Glen Innes/Pt England/Wai O Taiki,1.85
Blockhouse Bay/New Windsor,Glendene,3.15
Blockhouse Bay/New Windsor,Glendhu/Glenfield,4.85
Blockhouse Bay/New Windsor,Greenhithe/Unsworth Heights,4.85
Blockhouse Bay/New Windsor,Grey Lynn/Arch Hill,1.85
Blockhouse Bay/New Windsor,Gulf Harbour,7.5
Blockhouse Bay/New Windsor,Half Moon Bay/Farm Cove,4.85
Blockhouse Bay/New Windsor,Henderson,3.15
Blockhouse Bay/New Windsor,Herne Bay/St Marys,3.15
Blockhouse Bay/New Windsor,Highland Park,4.85
Blockhouse Bay/New Windsor,Hillcrest/Northcote,4.85
Blockhouse Bay/New Windsor,Hillsborough,1.85
Blockhouse Bay/New Windsor,Howick,4.85
Blockhouse Bay/New Windsor,Kelston,3.15
Blockhouse Bay/New Windsor,Kingsland,1.85
Blockhouse Bay/New Windsor,Kohimarama,3.15
Blockhouse Bay/New Windsor,Lynfield,1.85
Blockhouse Bay/New Windsor,Mangere,3.15
Blockhouse Bay/New Windsor,Mangere Bridge/Airport,3.15
Blockhouse Bay/New Windsor,Mangere East,4.85
Blockhouse Bay/New Windsor,Manukau Central,4.85
Blockhouse Bay/New Windsor,Manukau Heights and Manurewa Heights,6.1
Blockhouse Bay/New Windsor,Manurewa North,4.85
Blockhouse Bay/New Windsor,Maraetai/Clevedon,
Blockhouse Bay/New Windsor,Massey/Royal Heights,3.15
Blockhouse Bay/New Windsor,Meadowbank,1.85
Blockhouse Bay/New Windsor,Mission Bay/Orakei,3.15
Blockhouse Bay/New Windsor,Mt Albert/Owairaka,1.85
Blockhouse Bay/New Windsor,Mt Eden,1.85
Blockhouse Bay/New Windsor,Mt Roskill/Wesley,1.85
Blockhouse Bay/New Windsor,Mt Wellington,3.15
Blockhouse Bay/New Windsor,Mt Wellington North,3.15
Blockhouse Bay/New Windsor,New Lynn,1.85
Blockhouse Bay/New Windsor,Newmarket,1.85
Blockhouse Bay/New Windsor,Newton/Grafton,3.15
Blockhouse Bay/New Windsor,North Harbour/Pine Hill,6.1
Blockhouse Bay/New Windsor,Onehunga/Oranga/Te Papapa,1.85
Blockhouse Bay/New Windsor,Orewa/Whangaparaoa,
Blockhouse Bay/New Windsor,Otahuhu,1.85
Blockhouse Bay/New Windsor,Otara,4.85
Blockhouse Bay/New Windsor,Pakuranga,4.85
Blockhouse Bay/New Windsor,Panmure,3.15
Blockhouse Bay/New Windsor,Papakura/Drury/Karaka,4.85
Blockhouse Bay/New Windsor,Papatoetoe North,4.85
